ISSN;Título;Área de Avaliação;Classificação
0010-162;Convergência (Rio de Janeiro);CIÊNCIAS SOCIAIS APLICADAS I;C
0011-258;Dados (Rio de Janeiro);SOCIOLOGIA;A1
0016-361;Fuel (Guildford);ASTRONOMIA / FÍSICA;B1
0034-167;Revista Brasileira de Enfermagem;ENFERMAGEM;A2
0034-272;Revista Brasileira de Odontologia;ODONTOLOGIA;B4
0100-204-X;Pesquisa Agropecuária Brasileira;BIODIVERSIDADE;B2
0100-204-X;Pesquisa Agropecuária Brasileira;BIOTECNOLOGIA;B3
0100-204-X;Pesquisa Agropecuária Brasileira;CIÊNCIA DE ALIMENTOS;B2
0100-204-X;Pesquisa Agropecuária Brasileira;CIÊNCIAS AGRÁRIAS I;B1
0100-204-X;Pesquisa Agropecuária Brasileira;CIÊNCIAS AMBIENTAIS;B2
0100-204-X;Pesquisa Agropecuária Brasileira;CIÊNCIAS BIOLÓGICAS I;B5
0100-204-X;Pesquisa Agropecuária Brasileira;CIÊNCIAS BIOLÓGICAS II;B5
0100-204-X;Pesquisa Agropecuária Brasileira;ENGENHARIAS I;B5
0100-204-X;Pesquisa Agropecuária Brasileira;FARMÁCIA;B3
0100-204-X;Pesquisa Agropecuária Brasileira;GEOCIÊNCIAS;B1
0100-204-X;Pesquisa Agropecuária Brasileira;INTERDISCIPLINAR;B2
0100-204-X;Pesquisa Agropecuária Brasileira;MEDICINA I;B3
0100-204-X;Pesquisa Agropecuária Brasileira;MEDICINA VETERINÁRIA;B2
0100-204-X;Pesquisa Agropecuária Brasileira;ZOOTECNIA / RECURSOS PESQUEIROS;B1
0100-551;Pesquisa e Planejamento Econômico (Rio de Janeiro);CIÊNCIA DA COMPUTAÇÃO;C
0100-551;Pesquisa e Planejamento Econômico (Rio de Janeiro);ECONOMIA;-
0100-956;Revista Econômica do Nordeste;ECONOMIA;-
0102-306;Acta Botanica Brasilica;BIODIVERSIDADE;B2
0102-935;Arquivo Brasileiro de Medicina Veterinária e Zootecnia;ZOOTECNIA / RECURSOS PESQUEIROS;B4
0102-95X;Revista Brasileira de Farmacognosia;BIODIVERSIDADE;B3
0103-733;Brazilian Journal of Physics;ASTRONOMIA / FÍSICA;B1
0104-311;Roteiro (Joaçaba);EDUCAÇÃO;B2
0104660-8;REVISTA DA FACULDADE DE DIREITO DA UFRGS;DIREITO;C
0308-146;Food Chemistry;CIÊNCIAS AGRÁRIAS I;A1
0309-167;Histopathology;MEDICINA I;A2
0378-844;Interciencia (Caracas);CIÊNCIAS AGRÁRIAS I;B1
0732-893;Diagnostic Microbiology and Infectious Disease;MEDICINA II;B1
0960-524;Bioresource Technology;ENGENHARIAS II;A1
0968-328;Micron (Oxford);CIÊNCIAS BIOLÓGICAS I;B2
1000233;Revista Baiana de Saúde Pública;EDUCAÇÃO FÍSICA;B4
1000233;Revista Baiana de Saúde Pública;ENFERMAGEM;B3
1016628;Serviço Social & Sociedade;SERVIÇO SOCIAL;A1
1017330;Educação & Sociedade (Impresso);EDUCAÇÃO;A1
1017330;Educação & Sociedade (Impresso);PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA;A2
1037331;Physis (UERJ. Impresso);ENSINO;B3
1037331;Physis (UERJ. Impresso);MEDICINA I;B3
1037331;Physis (UERJ. Impresso);NUTRIÇÃO;B4
1413-012;Revista da Faculdade de Odontologia. Universidade de Passo Fundo;ODONTOLOGIA;B4
1413-439;Revista de Direito Ambiental;DIREITO;A2
1414-862;Eletrônica de Potência (Florianópolis);ENGENHARIAS IV;B1
1414462X;Cadernos Saúde Coletiva (UFRJ);ENFERMAGEM;B2
1414462X;Cadernos Saúde Coletiva (UFRJ);INTERDISCIPLINAR;B2
1414462X;Cadernos Saúde Coletiva (UFRJ);PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA;B3
1414462X;Cadernos Saúde Coletiva (UFRJ);SAÚDE COLETIVA;B3
1414707-6;CULT - Revista Brasileira de Cultura;ARTES / MÚSICA;C
1414707-6;CULT - Revista Brasileira de Cultura;SOCIOLOGIA;C
1415-90X;Revista Brasileira de Epidemiologia;ODONTOLOGIA;B2
14157314;Engevista (UFF);ENGENHARIAS I;C
14157314;Engevista (UFF);ENGENHARIAS II;B3
14157314;Engevista (UFF);GEOCIÊNCIAS;B5
14157314;Engevista (UFF);INTERDISCIPLINAR;B3
1415790X;Revista Brasileira de Epidemiologia (Impresso);EDUCAÇÃO FÍSICA;B2
1415790X;Revista Brasileira de Epidemiologia (Impresso);ENFERMAGEM;B1
1415790X;Revista Brasileira de Epidemiologia (Impresso);MEDICINA I;B2
1415790X;Revista Brasileira de Epidemiologia (Impresso);MEDICINA II;B2
1415790X;Revista Brasileira de Epidemiologia (Impresso);NUTRIÇÃO;B4
1415790X;Revista Brasileira de Epidemiologia (Impresso);PSICOLOGIA;B1
1415790X;Revista Brasileira de Epidemiologia (Impresso);SAÚDE COLETIVA;B1
1471-164;BMC Genomics;BIODIVERSIDADE;A2
1471-164;BMC Genomics;CIÊNCIAS BIOLÓGICAS I;A2
1471-164;BMC Genomics;MEDICINA VETERINÁRIA;A1
1516-111;Papers do NAEA (UFPA);INTERDISCIPLINAR;B3
1516-154;Revista LTr. Legislação do Trabalho;DIREITO;C
1516-173;Cadernos do GIPE-CIT (UFBA);ARTES / MÚSICA;B5
1518-554;Pós.Revista do Programa de Pós Graduação em Arquitetura e Urbanismo da FAU/USP;ARQUITETURA E URBANISMO;B1
1519-504-X;Revista de Etudos Sociais - Universidade Federal do Mato Grosso;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA;B5
1519-745-X;Luminária;HISTÓRIA;B5
1519-984;Brazilian Journal of Biology;BIODIVERSIDADE;B3
15196186;Revista Espaço Acadêmico (UEM);DIREITO;B2
15196186;Revista Espaço Acadêmico (UEM);HISTÓRIA;B4
15524825;American Journal of Medical Genetics. Part A;BIOTECNOLOGIA;B1
1676-584;Revista HISTEDBR On-line;EDUCAÇÃO;B1
1676-584;Revista HISTEDBR On-line;INTERDISCIPLINAR;B1
1678-343;Caminhos da Geografia (UFU. Online);GEOGRAFIA;B1
1678-561;Ciência & Saúde Coletiva (Online);INTERDISCIPLINAR;B1
16782410;Enfermagem Brasil;ENFERMAGEM;B5
1679-363;Revista da Ajuris;ARQUITETURA E URBANISMO;C
1679-363;Revista da Ajuris;DIREITO;B2
1679-520;Scripta UNIANDRADE;LETRAS / LINGUÍSTICA;B3
16799844;InterScience Place;EDUCAÇÃO;B5
16799844;InterScience Place;ENGENHARIAS III;B4
16799844;InterScience Place;INTERDISCIPLINAR;B3
16956141;Enfermería Global;ENFERMAGEM;B1
16956141;Enfermería Global;SAÚDE COLETIVA;B3
1806-324;Brazilian Oral Research;ODONTOLOGIA;A2
1807-062;Revista Desenbahia;ECONOMIA;-
1808-429;Revista da Faculdade Mineira de Direito ( PUCMG);DIREITO;B4
18086578;Revista Conexão UEPG;EDUCAÇÃO;B5
1809-89X;Geotextos (UFBA);GEOGRAFIA;B1
18092829;Consultor Jurídico (São Paulo. Online);INTERDISCIPLINAR;C
18096107;Revista de Pesquisa: Cuidado é Fundamental;ENFERMAGEM;B2
18096107;Revista de Pesquisa: Cuidado é Fundamental;INTERDISCIPLINAR;B2
19817746;Trabalho, educação e saúde (Online);ENFERMAGEM;B2
19817746;Trabalho, educação e saúde (Online);INTERDISCIPLINAR;B2
19818963;Revista de enfermagem UFPE on line;CIÊNCIAS AMBIENTAIS;B5
19818963;Revista de enfermagem UFPE on line;EDUCAÇÃO FÍSICA;B4
19818963;Revista de enfermagem UFPE on line;EDUCAÇÃO;B4
19818963;Revista de enfermagem UFPE on line;ENFERMAGEM;B2
19818963;Revista de enfermagem UFPE on line;FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA;B2
19818963;Revista de enfermagem UFPE on line;INTERDISCIPLINAR;B2
19818963;Revista de enfermagem UFPE on line;MEDICINA I;B5
19818963;Revista de enfermagem UFPE on line;MEDICINA II;B4
19818963;Revista de enfermagem UFPE on line;PSICOLOGIA;B2
19818963;Revista de enfermagem UFPE on line;SAÚDE COLETIVA;B4
1982176-X;Revista Conexões - Ciência e Tecnologia;EDUCAÇÃO;C
1982176-X;Revista Conexões - Ciência e Tecnologia;ENSINO;B2
1982176-X;Revista Conexões - Ciência e Tecnologia;INTERDISCIPLINAR;B5
19835000;Revista Labor;EDUCAÇÃO;B4
2178--2679;Revista Praxiseducacional;EDUCAÇÃO;C
2236-74-03;Travessias Interativas;LETRAS / LINGUÍSTICA;B4
2237-583-X;Revista de Direito Brasileira - RDBras;DIREITO;B2
2316--8196;RIGS - Revista Interdisciplinar de Gestão Social;ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO;B4
2316--8196;RIGS - Revista Interdisciplinar de Gestão Social;CIÊNCIAS AMBIENTAIS;B5
2316--8196;RIGS - Revista Interdisciplinar de Gestão Social;INTERDISCIPLINAR;B4
3037657;Revista Brasileira de Saúde Ocupacional;ENSINO;B3
3037657;Revista Brasileira de Saúde Ocupacional;SAÚDE COLETIVA;B2
348910;Revista de Saúde Pública (USP. Impresso);ENFERMAGEM;A2
348910;Revista de Saúde Pública (USP. Impresso);ENSINO;B2
348910;Revista de Saúde Pública (USP. Impresso);INTERDISCIPLINAR;A2
348910;Revista de Saúde Pública (USP. Impresso);MEDICINA II;B2
348910;Revista de Saúde Pública (USP. Impresso);MEDICINA VETERINÁRIA;B1
348910;Revista de Saúde Pública (USP. Impresso);SAÚDE COLETIVA;A2
404039;Tetrahedron Letter;QUÍMICA;B1
